"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","基础档案》客户汇率获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","系统规则》邮箱配置获取","用例描述"
"skipped","Fri Jul 21 09:17:51 CST 2023","Fri Jul 21 09:17:51 CST 2023","0","ict运输公司查询接口测试包","ict运输公司查询接口测试模块","运输公司端查询接口","","","运单管理》厢式车运输获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","接口日志》接收日志获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","运营策略》线路范围设置获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","认证审核》货主提额管理获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","后台运单管理》路桥费维护表信息查询","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","基础档案》二级客户获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","货主交易日志》提现日志获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","系统规则》接口接收设置获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","应收管理》待生成对账单数据获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","组织档案》组织机构获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","后台工作看板》供应商数据","用例描述"
"skipped","Fri Jul 21 09:17:51 CST 2023","Fri Jul 21 09:17:51 CST 2023","0","ict货主查询接口测试包","ict货主查询接口测试模块","货主端查询接口","","","费用中心》应收发票查询获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","系统规则》用户角色分配获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","后台工作看板》订单录入查询》危险品出口","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","运营策略》每日产表维护表获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","报价管理》司机市场报价获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","标准档案》车辆档案获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","组织档案》用户档案获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","通知》短信日志获取","用例描述"
"skipped","Fri Jul 21 09:17:51 CST 2023","Fri Jul 21 09:17:51 CST 2023","0","ict货主查询接口测试包","ict货主查询接口测试模块","货主端查询接口","","","档案管理》合同报价查询获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","后台跟踪管理》报关管理查询","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","系统规则》Excel配置库获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","推广活动》推广汇总列表获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","后台配载计划》查询","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","后台运单管理》调度管理集装箱查询","用例描述"
